cluster_id,age_group,n_patients,age_min,age_max,age_mean,percentage
0,[0-10),154,5,5,5.0,0.21533040633127326
1,[10-20),535,15,15,15.0,0.7480634245924103
2,[20-30),1127,25,25,25.0,1.575827064515227
3,[30-40),2699,35,35,35.0,3.773875108364328
4,[40-50),6878,45,45,45.0,9.617159316535698
5,[50-60),12466,55,55,55.0,17.430576917699042
6,[60-70),15960,65,65,65.0,22.31606029251377
7,[70-80),18210,75,75,75.0,25.46212142397718
8,[80-90),11589,85,85,85.0,16.204312201124193
9,[90-100),1900,95,95,95.0,2.656673844346878
