feature,importance
num_lab_procedures,0.08368082973379
diag_1,0.08218515889263023
diag_2,0.0784790881769254
discharge_disposition_id,0.07806156038351228
diag_3,0.07646133154403362
num_medications,0.07390194923969146
time_in_hospital,0.0538899255587216
medical_specialty,0.03960535061288962
number_diagnoses,0.03854235752259899
num_procedures,0.035275362717570063
number_inpatient,0.03419203391842415
admission_source_id,0.029320394556876885
payer_code,0.02907040478124121
admission_type_id,0.0282861168685507
number_outpatient,0.026542386434201072
insulin,0.022239507389330355
diabetesMed,0.019474159635464273
race,0.017927506443211127
A1Cresult,0.017325983890992346
gender,0.015728817501195515
number_emergency,0.01348103789453983
metformin,0.012944979172537173
glipizide,0.01267051231923062
change,0.01259273406457165
glyburide,0.012268033617465033
weight,0.011382788759860856
max_glu_serum,0.009957253281600813
pioglitazone,0.008608952882166825
rosiglitazone,0.007884865894092563
glimepiride,0.007314518821236001
repaglinide,0.004471422836948766
nateglinide,0.00209683796509786
glyburide-metformin,0.0016599674265274727
acarbose,0.0012486710451035936
chlorpropamide,0.0007222435092978034
tolbutamide,0.0001912477421001419
tolazamide,0.00015481254698112
miglitol,8.938688619173217e-05
glipizide-metformin,5.636058156224429e-05
troglitazone,1.3146951037113388e-05
age,0.0
acetohexamide,0.0
citoglipton,0.0
examide,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
