feature,importance
number_inpatient,0.12349295765302952
diag_1,0.096666765296413
num_lab_procedures,0.08083502609881396
diag_3,0.0793395058922874
num_medications,0.07071731655944269
diag_2,0.06700332218712343
number_emergency,0.06389799977084092
time_in_hospital,0.060679921308558676
number_diagnoses,0.05525328219520031
num_procedures,0.03850639161695431
medical_specialty,0.03803471129422882
admission_type_id,0.03279266758076914
admission_source_id,0.029966248823548855
insulin,0.02778934325103542
discharge_disposition_id,0.02104890156913255
gender,0.016569981879192345
race,0.01636695028208859
diabetesMed,0.014739351672122942
metformin,0.014410298194053772
change,0.014107547716453919
number_outpatient,0.009627729912426101
A1Cresult,0.00850490107388443
glyburide,0.006115167328315137
glipizide,0.004834192988314889
pioglitazone,0.0035675518631439014
rosiglitazone,0.0021831120772621863
max_glu_serum,0.0017232439546196892
glimepiride,0.0010015427471799037
nateglinide,0.00014061068875199253
glyburide-metformin,8.34565248112502e-05
acetohexamide,0.0
chlorpropamide,0.0
repaglinide,0.0
tolbutamide,0.0
troglitazone,0.0
miglitol,0.0
acarbose,0.0
citoglipton,0.0
examide,0.0
tolazamide,0.0
glipizide-metformin,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
