feature,importance
diag_1,0.07983019600639438
num_lab_procedures,0.07867893102880347
diag_2,0.07851056724639123
num_medications,0.07510550855717751
diag_3,0.0749119676543147
time_in_hospital,0.05291888816689582
number_diagnoses,0.045044808910698945
number_inpatient,0.041856490762571835
discharge_disposition_id,0.04114281548118021
medical_specialty,0.04040358444731096
payer_code,0.03972743060800444
num_procedures,0.03773228768067203
admission_type_id,0.030220993506796176
admission_source_id,0.029824593145215933
number_outpatient,0.027000359061638737
insulin,0.025698032060375894
number_emergency,0.024415647700086255
race,0.024065506464843015
A1Cresult,0.018701920934186645
metformin,0.015746683344036515
gender,0.015057992015038917
glipizide,0.013932581058134266
weight,0.013511371945962492
glyburide,0.01161622987889237
change,0.011143098701072617
diabetesMed,0.010867567818194493
pioglitazone,0.009464873356242054
rosiglitazone,0.009182134649582096
max_glu_serum,0.007173054152176072
glimepiride,0.007032942789152908
repaglinide,0.003891376001326629
glyburide-metformin,0.00200953740405905
nateglinide,0.001957082802316695
acarbose,0.0007876098851607242
chlorpropamide,0.0004108459691288024
miglitol,0.000216984994511018
tolazamide,8.436860893645808e-05
glipizide-metformin,7.768734281403611e-05
tolbutamide,4.1090712160824115e-05
metformin-pioglitazone,4.357147542864838e-06
age,0.0
acetohexamide,0.0
troglitazone,0.0
examide,0.0
citoglipton,0.0
glimepiride-pioglitazone,0.0
metformin-rosiglitazone,0.0
age_numeric,0.0
