dataset,model,accuracy,precision,recall,f1_score,roc_auc,cv_accuracy_mean,cv_accuracy_std,composite_score
kmeans,Logistic_Regression,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
kmeans,Random_Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
kmeans,Gradient_Boosting,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
kmeans,Extra_Trees,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
kmeans,SVM,0.9907502569373073,0.9908105419515795,0.9907502569373073,0.9907540919651813,0.9997574055158325,0.9890904765038497,0.003863923483362441,0.9926710467522155
kmeans,KNN,0.8581706063720452,0.8586888480448367,0.8581706063720452,0.8582989276879918,0.9277238678924074,0.8346802130844085,0.008820879452248727,0.8708929234235951
decision_tree,Logistic_Regression,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
decision_tree,Random_Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
decision_tree,Gradient_Boosting,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
decision_tree,Extra_Trees,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
decision_tree,SVM,0.9907502569373073,0.9908105419515795,0.9907502569373073,0.9907540919651813,0.9997574055158325,0.9893277244279304,0.004020742203372461,0.9927184963370316
decision_tree,KNN,0.8530318602261048,0.8539032194581335,0.8530318602261048,0.853206842163009,0.9274642492339121,0.8270896294308918,0.007198872314246439,0.86649525680324
hybrid,Logistic_Regression,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
hybrid,Random_Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
hybrid,Gradient_Boosting,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
hybrid,Extra_Trees,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
hybrid,SVM,0.9907502569373073,0.9908105419515795,0.9907502569373073,0.9907540919651813,0.9997574055158325,0.9893277244279304,0.004020742203372461,0.9927184963370316
hybrid,KNN,0.8530318602261048,0.8534976370207626,0.8530318602261048,0.8531554855086999,0.9282388491658154,0.8311223379213639,0.008645725289577268,0.8674826093207331
